Cargos;Valores
Administrativo;8
Diretor Executivo (CEO);55
Diretor de Produtos (CPO);3
Diretor de Tecnologia (CTO);4
UX Designer;7
UI Designer;13
Designer Gráfico;4
Pesquisador UX;3
Desenvolvedor;14
Diretor de Operações (COO);2
Diretor de Expansão Digital;1
Comercial;2
Técnico Logístico;1
Encarregado de Dados (DPO);1
Diretor Financeiro (CFO);1
Diretor de Marketing (CMO);2
Consultor;1
Vendedor;1
Product Owner (PO);1
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
